none
none
none
"d" "b" 1;
"a" "g" "t" 1; "b" "g" 1; "d" "b" "m" 1; "e" "p" 1;
"a" "t" 1; "b" "h" "l" 1; "d" "b" "m" 1; "e" "n" "p" "w" 1;
"a" "t" 1; "b" "h" "l" 1; "d" "b" "m" 1; "e" "n" "p" "w" 1;
"a" "t" 1; "b" "h" "l" 1; "c" "c" 1; "d" "b" "m" 1; "e" "n" "p" "w" 1;
"b" "l" 1; "d" "b" "m" "w" 1;
"a" "m" "w" 1; "b" "l" 1; "d" "b" "m" "w" 1;
"a" "h" "m" "w" 1; "b" "l" 1; "c" "l" 1; "d" "b" "m" "w" 1; "e" "q" 1;
"a" "h" "m" "w" 1; "b" "l" "n" "w" 1; "c" "l" 1; "d" "b" "m" "w" 1; "e" "q" 1;
"a" "h" "l" "m" "o" "w" 1; "b" "l" 2; "c" "b" "l" 1; "d" "b" "m" "q" "w" "y" 1; "e" "q" 1;
"a" "l" "m" "o" "w" "y" 1; "b" "l" 2; "c" "l" 2; "d" "b" "m" "q" "w" "y" 1; "e" "q" 1;
"a" "e" "l" "m" "o" "w" "y" 1; "b" "l" 2; "c" "l" 3; "d" "b" "m" "q" "w" "y" 1; "e" "q" 1;
"a" "e" "l" "m" "o" "w" "y" 1; "b" "l" 2; "c" "l" 4; "d" "b" "m" "q" "w" "y" 1; "e" "q" 1;
"a" "n" "y" 2; "b" "l" 2; "c" "l" 4; "d" "b" "d" "e" "l" "m" "n" "o" "q" "w" "y" 1; "e" "n" "q" 1;
"a" "n" "y" 2; "b" "b" "l" 2; "c" "l" 4; "d" "e" "o" 2; "e" "l" "m" "n" "q" 1;
"a" "n" "y" 2; "b" "b" "l" 2; "c" "l" 4; "d" "e" "o" 2; "e" "l" "m" "n" "q" 1;
"a" "e" "n" "y" 2; "b" "l" "m" 3; "c" "l" "n" 4; "d" "h" 3; "e" "m" "n" 2;
"a" "y" 3; "b" "l" "m" 3; "c" "l" 4; "d" "e" "h" "m" "o" 2; "e" "h" "m" "p" 2;
"a" "y" 3; "b" "l" "m" 3; "c" "l" 4; "d" "e" "h" "m" "o" 2; "e" "c" "h" "m" "p" 2;
"a" "y" 3; "b" "l" "m" 3; "c" "l" 4; "d" "e" "h" "m" "o" "v" 2; "e" "v" 4;
"a" "y" 3; "b" "l" "m" "q" 3; "c" "l" 4; "d" "e" "h" "m" "o" "v" 2; "e" "v" 4;
"a" "y" 3; "b" "l" "m" "q" 3; "c" "l" 4; "d" "e" "h" "m" "o" "v" 2; "e" "v" 4;
"a" "m" "y" 3; "b" "m" 4; "c" "l" 5; "d" "h" "v" 3; "e" "p" "v" 4;
"a" "d" "m" 3; "b" "l" "m" 3; "c" "l" 5; "d" "h" 3; "e" "b" 3;
"a" "d" "y" 3; "b" "l" 3; "c" "l" 5; "d" "d" "h" "p" "q" 2; "e" "b" "y" 3;
"a" "d" "y" 3; "b" "l" 4; "c" "l" 5; "d" "d" "h" "p" "q" 2; "e" "b" "y" 3;
"a" "y" 4; "b" "h" "p" "r" 2; "c" "d" 4; "d" "h" "p" "q" "w" 2; "e" "b" "y" 3;
"a" "y" 4; "b" "h" "p" "r" 2; "c" "d" 4; "d" "h" "p" "q" "w" 2; "e" "b" "y" 3;
"a" "r" 3; "b" "h" "p" 2; "c" "d" 4; "d" "p" 3; "e" "b" "z" 3;
"a" "r" 4; "b" "h" "p" "r" 2; "c" "d" 4; "d" "h" "p" 3; "e" "b" "z" 3;
"a" "r" 4; "b" "h" "p" "r" 2; "c" "q" 3; "d" "h" "p" 3; "e" "b" "z" 3;
"a" "r" 4; "b" "h" "p" "r" 2; "c" "q" 3; "d" "h" "p" 3; "e" "b" "z" 3;
"a" "r" 4; "b" "p" 3; "c" "c" "q" 3; "d" "h" "p" 3; "e" "b" 4;
"a" "r" 4; "b" "p" 3; "c" "c" "q" 3; "d" "h" "p" 3; "e" "b" 4;
"a" "r" 4; "b" "p" 3; "c" "c" "q" 3; "d" "h" "p" 3; "e" "b" 4;
"a" "r" 3; "b" "p" 3; "c" "c" 3; "d" "h" 4; "e" "z" 4;
"a" "r" 3; "b" "p" 3; "c" "c" 3; "d" "h" 4; "e" "z" 4;
"a" "p" "r" 3; "b" "p" 3; "c" "c" 3; "d" "h" "p" 4; "e" "z" 4;
"a" "p" "q" "r" 3; "b" "p" 4; "c" "c" "n" 3; "d" "h" "p" "w" 4; "e" "z" 4;
"a" "p" "q" "r" 3; "b" "p" 4; "c" "c" "n" 3; "d" "h" "p" "w" 4; "e" "z" 4;
"a" "c" "h" "o" "p" "r" "z" 2; "b" "p" 4; "c" "c" "n" 3; "d" "h" "p" "w" 3; "e" "k" "z" 4;
"a" "c" "h" "i" "o" "p" "r" "z" 2; "b" "p" 4; "c" "c" "n" 3; "d" "h" "p" "r" "w" 3; "e" "k" "z" 4;
"a" "h" 3; "b" "p" 4; "c" "c" "n" 3; "d" "h" "p" "r" "w" 3; "e" "k" "z" 4;
